"w_martin","top_alternative","top_score"
0.484,"PB1",0.553407852909594
0.486,"PB1",0.553384697726563
0.488,"PB1",0.553361372622204
0.49,"PB1",0.553337875719208
0.492,"PB1",0.553314205112514
0.494,"PB1",0.553290358868786
0.496,"PB1",0.553266335025891
0.498,"PB1",0.553242131592363
0.5,"PB1",0.553217746546845
0.502,"PB1",0.553193177837536
0.504,"PB1",0.553168423381606
0.506,"PB1",0.553143481064616
0.508,"PB1",0.553118348739908
0.51,"PB1",0.553093024227996
0.512,"PB1",0.553067505315931
0.514,"PB1",0.55304178975666
0.516,"PB1",0.553015875268363
0.518,"PB1",0.552989759533782
0.52,"PB1",0.552963440199526
0.522,"PB1",0.552936914875366
0.524,"PB1",0.552910181133512
0.526,"PB1",0.552883236507874
0.528,"PB1",0.552856078493298
0.53,"PB1",0.552828704544793
0.532,"PB1",0.55280111207674
0.534,"PB1",0.552773298462069
0.536,"PB1",0.552745261031433
0.538,"PB1",0.55271699707235
0.54,"PB1",0.552688503828329
0.542,"PB1",0.552659778497974
0.544,"PB1",0.552630818234066
0.546,"PB1",0.552601620142624
0.548,"PB1",0.552572181281935
0.55,"PB1",0.552542498661575
0.552,"PB1",0.552512569241387
0.554,"PB1",0.552482389930451
0.556,"PB1",0.552451957586013
0.558,"PB1",0.552421269012401
0.56,"PB1",0.5523903209599
0.562,"PB1",0.552359110123608
0.564,"PB1",0.552327633142259
0.566,"PB1",0.552295886597019
0.568,"PB1",0.55226386701024
0.57,"PB1",0.552231570844202
0.572,"PB1",0.552198994499797
0.574,"PB1",0.552166134315204
0.576,"PB1",0.552132986564507
0.578,"PB1",0.552099547456294
0.58,"PB1",0.552065813132207
0.582,"PB1",0.552031779665459
0.584,"PB1",0.551997443059312
0.586,"PB1",0.551962799245508
0.588,"PB1",0.551927844082667
0.59,"PB1",0.551892573354635
0.592,"PB1",0.551856982768786
0.594,"PB1",0.551821067954286
0.596,"PB1",0.551784824460299
0.598,"PB1",0.551748247754147
0.6,"PB1",0.551711333219427
0.602,"PB1",0.551674076154062
0.604,"PB1",0.551636471768308
0.606,"PB1",0.5515985151827
0.608,"PB1",0.551560201425942
0.61,"PB1",0.551521525432734
0.612,"PB1",0.551482482041545
0.614,"PB1",0.55144306599231
0.616,"PB1",0.551403271924073
0.618,"PB1",0.551363094372553
0.62,"PB1",0.551322527767645
0.622,"PB1",0.551281566430844
0.624,"PB1",0.551240204572595
0.626,"PB1",0.551198436289567
0.628,"PB1",0.551156255561842
0.63,"PB1",0.551113656250024
0.632,"PB1",0.551070632092261
0.634,"PB1",0.551027176701173
0.636,"PB1",0.550983283560695
0.638,"PB1",0.550938946022818
0.64,"PB1",0.550894157304228
0.642,"PB1",0.550848910482857
0.644,"PB1",0.550803198494304
0.646,"PB1",0.550757014128169
0.648,"PB1",0.550710350024253
0.65,"PB1",0.550663198668653
0.652,"PB1",0.550615552389727
0.654,"PB1",0.550567403353932
0.656,"PB1",0.550518743561532
0.658,"PB1",0.550469564842166
0.66,"PB1",0.550419858850276
0.662,"PB1",0.550369617060383
0.664,"PB1",0.550318830762214
0.666,"PB1",0.55026749105567
0.668,"PB1",0.550215588845621
0.67,"PB1",0.550163114836541
0.672,"PB1",0.550110059526952
0.674,"PB1",0.550056413203691
0.676,"PB1",0.550002165935983
0.678,"PB1",0.549947307569313
0.68,"PB1",0.549891827719083
0.682,"PB1",0.549835715764068
0.684,"PB1",0.549778960839629
0.686,"PB1",0.549721551830704
0.688,"PB1",0.549663477364551
0.69,"PB1",0.549604725803237
0.692,"PB1",0.54954528523586
0.694,"PB1",0.549485143470502
0.696,"PB1",0.549424288025894
0.698,"PB1",0.549362706122774
0.7,"PB1",0.549300384674948
0.702,"PB1",0.549237310280014
0.704,"PB1",0.549173469209755
0.706,"PB1",0.549108847400179
0.708,"PB1",0.549043430441187
0.71,"PB1",0.548977203565864
0.712,"PB1",0.548910151639361
0.714,"PB1",0.54884225914737
0.716,"PB1",0.548773510184153
0.718,"PB1",0.548703888440117
0.72,"PB1",0.548633377188921
0.722,"PB1",0.548561959274071
0.724,"PB1",0.54848961709501
0.726,"PB1",0.548416332592653
0.728,"PB1",0.548342087234359
0.73,"PB1",0.548266861998305
0.732,"PB1",0.548190637357239
0.734,"PB1",0.548113393261581
0.736,"PB1",0.548035109121842
0.738,"PB1",0.547955763790321
0.74,"PB1",0.547875335542069
0.742,"PB1",0.547793802055048
0.744,"PB1",0.547711140389481
0.746,"PB1",0.547627326966333
0.748,"PB1",0.547542337544888
0.75,"PB1",0.547456147199373
0.752,"PB1",0.547368730294587
0.754,"PB1",0.547280060460481
