WY,Basin,Index,Code,Classification,Type
1978,Sacramento Valley,8.65,AN,Above Normal,Reconstructed
1977,Sacramento Valley,3.11,C,Critical,Reconstructed
1976,Sacramento Valley,5.29,C,Critical,Reconstructed
1975,Sacramento Valley,9.35,W,Wet,Reconstructed
1974,Sacramento Valley,12.99,W,Wet,Reconstructed
1973,Sacramento Valley,8.58,AN,Above Normal,Reconstructed
1972,Sacramento Valley,7.29,BN,Below Normal,Reconstructed
1971,Sacramento Valley,10.37,W,Wet,Reconstructed
1970,Sacramento Valley,10.4,W,Wet,Reconstructed
1969,Sacramento Valley,11.05,W,Wet,Reconstructed
1968,Sacramento Valley,7.24,BN,Below Normal,Reconstructed
1967,Sacramento Valley,10.2,W,Wet,Reconstructed
1966,Sacramento Valley,7.16,BN,Below Normal,Reconstructed
1965,Sacramento Valley,10.15,W,Wet,Reconstructed
1964,Sacramento Valley,6.41,D,Dry,Reconstructed
1963,Sacramento Valley,9.63,W,Wet,Reconstructed
1962,Sacramento Valley,6.65,BN,Below Normal,Reconstructed
1961,Sacramento Valley,5.68,D,Dry,Reconstructed
1960,Sacramento Valley,6.2,D,Dry,Reconstructed
1959,Sacramento Valley,6.75,BN,Below Normal,Reconstructed
1958,Sacramento Valley,12.16,W,Wet,Reconstructed
1957,Sacramento Valley,7.83,AN,Above Normal,Reconstructed
1956,Sacramento Valley,11.38,W,Wet,Reconstructed
1955,Sacramento Valley,6.14,D,Dry,Reconstructed
1954,Sacramento Valley,8.51,AN,Above Normal,Reconstructed
1953,Sacramento Valley,9.55,W,Wet,Reconstructed
1952,Sacramento Valley,12.38,W,Wet,Reconstructed
1951,Sacramento Valley,9.18,AN,Above Normal,Reconstructed
1950,Sacramento Valley,6.62,BN,Below Normal,Reconstructed
1949,Sacramento Valley,6.09,D,Dry,Reconstructed
1948,Sacramento Valley,7.12,BN,Below Normal,Reconstructed
1947,Sacramento Valley,5.61,D,Dry,Reconstructed
1946,Sacramento Valley,7.7,BN,Below Normal,Reconstructed
1945,Sacramento Valley,6.8,BN,Below Normal,Reconstructed
1944,Sacramento Valley,6.35,D,Dry,Reconstructed
1943,Sacramento Valley,9.77,W,Wet,Reconstructed
1942,Sacramento Valley,11.27,W,Wet,Reconstructed
1941,Sacramento Valley,11.47,W,Wet,Reconstructed
1940,Sacramento Valley,8.88,AN,Above Normal,Reconstructed
1939,Sacramento Valley,5.58,D,Dry,Reconstructed
1938,Sacramento Valley,12.62,W,Wet,Reconstructed
1937,Sacramento Valley,6.87,BN,Below Normal,Reconstructed
1936,Sacramento Valley,7.75,BN,Below Normal,Reconstructed
1935,Sacramento Valley,6.98,BN,Below Normal,Reconstructed
1934,Sacramento Valley,4.07,C,Critical,Reconstructed
1933,Sacramento Valley,4.63,C,Critical,Reconstructed
1932,Sacramento Valley,5.48,D,Dry,Reconstructed
1931,Sacramento Valley,3.66,C,Critical,Reconstructed
1930,Sacramento Valley,5.9,D,Dry,Reconstructed
1929,Sacramento Valley,5.22,C,Critical,Reconstructed
1928,Sacramento Valley,8.27,AN,Above Normal,Reconstructed
1927,Sacramento Valley,9.52,W,Wet,Reconstructed
1926,Sacramento Valley,5.75,D,Dry,Reconstructed
1925,Sacramento Valley,6.39,D,Dry,Reconstructed
1924,Sacramento Valley,3.87,C,Critical,Reconstructed
1923,Sacramento Valley,7.06,BN,Below Normal,Reconstructed
1922,Sacramento Valley,8.97,AN,Above Normal,Reconstructed
1921,Sacramento Valley,9.2,AN,Above Normal,Reconstructed
1920,Sacramento Valley,5.15,C,Critical,Reconstructed
1919,Sacramento Valley,7,BN,Below Normal,Reconstructed
1918,Sacramento Valley,6.19,D,Dry,Reconstructed
1917,Sacramento Valley,8.83,AN,Above Normal,Reconstructed
1916,Sacramento Valley,10.83,W,Wet,Reconstructed
1915,Sacramento Valley,10.99,W,Wet,Reconstructed
1914,Sacramento Valley,10.92,W,Wet,Reconstructed
1913,Sacramento Valley,6.24,D,Dry,Reconstructed
1912,Sacramento Valley,6.71,BN,Below Normal,Reconstructed
1911,Sacramento Valley,11.74,W,Wet,Reconstructed
1910,Sacramento Valley,9.38,W,Wet,Reconstructed
1909,Sacramento Valley,12.1,W,Wet,Reconstructed
1908,Sacramento Valley,7.73,BN,Below Normal,Reconstructed
1907,Sacramento Valley,14.07,W,Wet,Reconstructed
1906,Sacramento Valley,11.76,W,Wet,Reconstructed
2024,San Joaquin Valley,3.49,AN,Above Normal,SacPAS Calculated
2023,San Joaquin Valley,6.4,W,Wet,Reconstructed
2022,San Joaquin Valley,1.56,C,Critical,Reconstructed
2021,San Joaquin Valley,1.32,C,Critical,Reconstructed
2020,San Joaquin Valley,2.35,D,Dry,Reconstructed
2019,San Joaquin Valley,4.94,W,Wet,Reconstructed
2018,San Joaquin Valley,3.03,BN,Below Normal,Reconstructed
2017,San Joaquin Valley,6.46,W,Wet,Reconstructed
2016,San Joaquin Valley,2.35,D,Dry,Reconstructed
2015,San Joaquin Valley,0.81,C,Critical,Reconstructed
2014,San Joaquin Valley,1.16,C,Critical,Reconstructed
2013,San Joaquin Valley,1.71,C,Critical,Reconstructed
2012,San Joaquin Valley,2.18,D,Dry,Reconstructed
2011,San Joaquin Valley,5.58,W,Wet,Reconstructed
2010,San Joaquin Valley,3.55,AN,Above Normal,Reconstructed
2009,San Joaquin Valley,2.72,BN,Below Normal,Reconstructed
2008,San Joaquin Valley,2.06,C,Critical,Reconstructed
2007,San Joaquin Valley,1.97,C,Critical,Reconstructed
